,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
71,2006-06-01,62.17,66.86230000000002,1.0,0.0,160.41713137870323,9973.13305781398
72,2006-06-02,61.66,66.66330000000002,1.0,0.0,160.41713137870323,9891.32032081084
73,2006-06-05,60.0,66.42863333333335,1.0,0.0,160.41713137870323,9625.027882722194
74,2006-06-06,59.723,66.22773333333335,1.0,0.0,160.41713137870323,9580.592337330292
75,2006-06-07,58.565,65.97423333333334,1.0,0.0,160.41713137870323,9394.829299193754
76,2006-06-08,60.76,65.72790000000002,1.0,0.0,160.41713137870323,9746.944902570009
77,2006-06-09,59.52,65.39990000000002,1.0,0.0,160.41713137870323,9548.027659660416
78,2006-06-12,57.0,64.95356666666667,1.0,0.0,160.41713137870323,9143.776488586083
79,2006-06-13,58.33,64.57790000000001,1.0,0.0,160.41713137870323,9357.13127331976
80,2006-06-14,57.61,64.11090000000002,1.0,0.0,160.41713137870323,9241.630938727094
81,2006-06-15,59.38,63.71890000000001,1.0,0.0,160.41713137870323,9525.569261267397
82,2006-06-16,57.56,63.26656666666668,1.0,0.0,160.41713137870323,9233.610082158159
83,2006-06-19,57.2,62.776900000000005,1.0,0.0,160.41713137870323,9175.859914861825
84,2006-06-20,57.47,62.29623333333334,1.0,0.0,160.41713137870323,9219.172540334075
85,2006-06-21,57.86,61.85723333333333,1.0,0.0,160.41713137870323,9281.73522157177
86,2006-06-22,59.58,61.489900000000006,0.0,0.0,160.41713137870323,9557.65268754314
87,2006-06-23,58.83,61.17923333333333,0.0,0.0,160.41713137870323,9437.339839009112
88,2006-06-26,58.99,60.8889,0.0,0.0,160.41713137870323,9463.006580029703
89,2006-06-27,57.43,60.54356666666667,1.0,0.0,160.41713137870323,9212.755855078927
90,2006-06-28,56.02,60.2449,1.0,0.0,160.41713137870323,8986.567699834955
91,2006-06-29,58.97,60.03523333333333,0.0,0.0,160.41713137870323,9459.798237402129
92,2006-06-30,57.27,59.83823333333333,0.0,0.0,160.41713137870323,9187.089114058335
93,2006-07-03,57.95,59.619566666666664,0.0,0.0,160.41713137870323,9296.172763395853
94,2006-07-05,57.0015,59.40695,0.0,0.0,160.41713137870323,9144.017114283151
95,2006-07-06,55.77,59.16094999999999,1.0,0.0,160.41713137870323,8946.46341699028
96,2006-07-07,55.4,58.896283333333336,1.0,0.0,160.41713137870323,8887.10907838016
97,2006-07-10,55.0,58.58528333333334,1.0,0.0,160.41713137870323,8822.942225828678
98,2006-07-11,55.65,58.32198333333334,0.0,0.0,160.41713137870323,8927.213361224834
99,2006-07-12,52.96,58.04665000000001,1.0,0.0,160.41713137870323,8495.691277816124
100,2006-07-13,52.25,57.79598333333334,1.0,0.0,160.41713137870323,8381.795114537244
101,2006-07-14,50.67,57.412650000000006,1.0,0.0,160.41713137870323,8128.336046958893
102,2006-07-17,52.37,57.102983333333334,1.0,0.0,160.41713137870323,8401.045170302688
103,2006-07-18,52.9,56.86631666666667,1.0,0.0,160.41713137870323,8486.066249933401
104,2006-07-19,54.1,56.67888333333334,0.0,0.0,160.41713137870323,8678.566807587846
