,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
29,2013-12-19,57.49,46.05333333333333,-1.0,12804.00890868597,0.0,12804.00890868597
30,2013-12-20,60.01,46.556999999999995,-1.0,12804.00890868597,0.0,12804.00890868597
31,2013-12-23,64.54,47.319999999999986,-1.0,12804.00890868597,0.0,12804.00890868597
32,2013-12-24,69.96,48.22199999999999,-1.0,12804.00890868597,0.0,12804.00890868597
33,2013-12-26,73.31,49.268999999999984,-1.0,12804.00890868597,0.0,12804.00890868597
34,2013-12-27,63.75,49.97399999999998,-1.0,12804.00890868597,0.0,12804.00890868597
35,2013-12-30,60.51,50.501333333333314,-1.0,12804.00890868597,0.0,12804.00890868597
36,2013-12-31,63.65,51.15699999999999,-1.0,12804.00890868597,0.0,12804.00890868597
37,2014-01-02,67.5,52.03566666666665,-1.0,12804.00890868597,0.0,12804.00890868597
38,2014-01-03,69.0,52.94399999999998,-1.0,12804.00890868597,0.0,12804.00890868597
39,2014-01-06,66.29,53.78533333333332,-1.0,12804.00890868597,0.0,12804.00890868597
40,2014-01-07,61.46,54.43199999999999,-1.0,12804.00890868597,0.0,12804.00890868597
41,2014-01-08,59.29,55.04166666666665,-1.0,12804.00890868597,0.0,12804.00890868597
42,2014-01-09,57.05,55.64133333333332,0.0,12804.00890868597,0.0,12804.00890868597
43,2014-01-10,57.0,56.201999999999984,0.0,12804.00890868597,0.0,12804.00890868597
44,2014-01-13,57.82,56.76599999999998,0.0,12804.00890868597,0.0,12804.00890868597
45,2014-01-14,58.21,57.32066666666665,0.0,12804.00890868597,0.0,12804.00890868597
46,2014-01-15,61.57,58.013666666666644,-1.0,12804.00890868597,0.0,12804.00890868597
47,2014-01-16,60.57,58.653666666666645,0.0,12804.00890868597,0.0,12804.00890868597
48,2014-01-17,62.2,59.27066666666665,0.0,12804.00890868597,0.0,12804.00890868597
49,2014-01-21,62.53,59.83433333333332,0.0,12804.00890868597,0.0,12804.00890868597
50,2014-01-22,62.44,60.41733333333332,0.0,12804.00890868597,0.0,12804.00890868597
51,2014-01-23,62.8,60.872666666666646,0.0,12804.00890868597,0.0,12804.00890868597
52,2014-01-24,61.74,61.19766666666665,0.0,12804.00890868597,0.0,12804.00890868597
53,2014-01-27,57.91,61.38333333333332,1.0,0.0,221.1018633860468,12804.00890868597
54,2014-01-28,60.44,61.55366666666666,0.0,0.0,221.1018633860468,13363.396623052668
55,2014-01-29,59.45,61.56866666666666,0.0,0.0,221.1018633860468,13144.505778300483
56,2014-01-30,63.47,61.79733333333333,0.0,0.0,221.1018633860468,14033.335269112391
57,2014-01-31,64.5,62.06566666666666,0.0,0.0,221.1018633860468,14261.07018840002
58,2014-02-03,65.25,62.390333333333324,0.0,0.0,221.1018633860468,14426.896585939554
59,2014-02-04,66.32,62.68466666666666,-1.0,14663.475579762622,0.0,14663.475579762622
60,2014-02-05,65.97,62.883333333333326,0.0,14663.475579762622,0.0,14663.475579762622
61,2014-02-06,50.03,62.39966666666666,1.0,0.0,293.0936554020112,14663.475579762622
62,2014-02-07,54.35,61.87933333333332,1.0,0.0,293.0936554020112,15929.64017109931
63,2014-02-10,52.92,61.19966666666666,1.0,0.0,293.0936554020112,15510.516243874434
64,2014-02-11,54.0,60.87466666666666,1.0,0.0,293.0936554020112,15827.057391708606
65,2014-02-12,56.85,60.752666666666656,1.0,0.0,293.0936554020112,16662.37430960434
66,2014-02-13,56.47,60.51333333333332,1.0,0.0,293.0936554020112,16550.99872055157
67,2014-02-14,57.44,60.17799999999999,0.0,0.0,293.0936554020112,16835.299566291524
68,2014-02-18,58.18,59.81733333333332,0.0,0.0,293.0936554020112,17052.188871289014
69,2014-02-19,55.5,59.45766666666666,1.0,0.0,293.0936554020112,16266.697874811623
70,2014-02-20,56.63,59.29666666666666,0.0,0.0,293.0936554020112,16597.893705415896
71,2014-02-21,55.92,59.184333333333335,1.0,0.0,293.0936554020112,16389.79721008047
72,2014-02-24,55.78,59.142,1.0,0.0,293.0936554020112,16348.764098324187
73,2014-02-25,54.96,59.074,1.0,0.0,293.0936554020112,16108.427300894537
74,2014-02-26,55.87,59.009,1.0,0.0,293.0936554020112,16375.142527310367
75,2014-02-27,55.77,58.92766666666667,1.0,0.0,293.0936554020112,16345.833161770166
76,2014-02-28,54.91,58.705666666666666,1.0,0.0,293.0936554020112,16093.772618124436
77,2014-03-03,53.71,58.477000000000004,1.0,0.0,293.0936554020112,15742.060231642023
78,2014-03-04,54.28,58.213,1.0,0.0,293.0936554020112,15909.12361522117
79,2014-03-05,54.38,57.94133333333334,1.0,0.0,293.0936554020112,15938.43298076137
80,2014-03-06,54.83,57.68766666666667,0.0,0.0,293.0936554020112,16070.325125692274
81,2014-03-07,53.53,57.37866666666667,1.0,0.0,293.0936554020112,15689.303373669662
82,2014-03-10,53.88,57.116666666666674,1.0,0.0,293.0936554020112,15791.886153060366
83,2014-03-11,54.02,56.987,1.0,0.0,293.0936554020112,15832.919264816646
84,2014-03-12,54.5,56.789,0.0,0.0,293.0936554020112,15973.604219409612
85,2014-03-13,53.57,56.592999999999996,1.0,0.0,293.0936554020112,15701.02711988574
86,2014-03-14,51.92,56.208,1.0,0.0,293.0936554020112,15217.422588472424
87,2014-03-17,52.05,55.793,1.0,0.0,293.0936554020112,15255.524763674683
88,2014-03-18,51.13,55.32233333333333,1.0,0.0,293.0936554020112,14985.878600704835
89,2014-03-19,51.24,54.81966666666667,1.0,0.0,293.0936554020112,15018.118902799055
