,Date,Close,SMA,Decision,Cash Balance,Shares Held,Total Value
97,2006-07-11,23.1,22.70234000000001,0.0,0.0,376.78975131876416,8703.843255463453
98,2006-07-12,22.64,22.68534000000001,0.0,0.0,376.78975131876416,8530.519969856821
99,2006-07-13,22.26,22.672340000000013,0.0,0.0,376.78975131876416,8387.33986435569
100,2006-07-14,22.29,22.654673333333342,0.0,0.0,376.78975131876416,8398.643556895253
101,2006-07-17,22.48,22.64534000000001,0.0,0.0,376.78975131876416,8470.233609645818
102,2006-07-18,22.74,22.65334000000001,0.0,0.0,376.78975131876416,8568.198944988697
103,2006-07-19,23.4,22.695673333333342,0.0,0.0,376.78975131876416,8816.880180859082
104,2006-07-20,22.85,22.722673333333343,0.0,0.0,376.78975131876416,8609.645817633762
105,2006-07-21,23.87,22.78134000000001,0.0,0.0,376.78975131876416,8993.9713639789
106,2006-07-24,24.0,22.84700666666668,-1.0,9042.95403165034,0.0,9042.95403165034
107,2006-07-25,24.22,22.930673333333345,-1.0,9042.95403165034,0.0,9042.95403165034
108,2006-07-26,24.37,23.026006666666678,-1.0,9042.95403165034,0.0,9042.95403165034
109,2006-07-27,23.87,23.092340000000014,0.0,9042.95403165034,0.0,9042.95403165034
110,2006-07-28,24.25,23.165006666666677,0.0,9042.95403165034,0.0,9042.95403165034
111,2006-07-31,24.06,23.23034000000001,0.0,9042.95403165034,0.0,9042.95403165034
112,2006-08-01,23.99,23.27834000000001,0.0,9042.95403165034,0.0,9042.95403165034
113,2006-08-02,24.3,23.33634000000001,0.0,9042.95403165034,0.0,9042.95403165034
114,2006-08-03,24.21,23.374006666666677,0.0,9042.95403165034,0.0,9042.95403165034
115,2006-08-04,24.29,23.421006666666678,0.0,9042.95403165034,0.0,9042.95403165034
116,2006-08-07,24.22,23.47834000000001,0.0,9042.95403165034,0.0,9042.95403165034
117,2006-08-08,24.34,23.529006666666678,0.0,9042.95403165034,0.0,9042.95403165034
118,2006-08-09,24.44,23.581673333333345,0.0,9042.95403165034,0.0,9042.95403165034
119,2006-08-10,24.46,23.625006666666682,0.0,9042.95403165034,0.0,9042.95403165034
120,2006-08-11,24.43,23.657000000000014,0.0,9042.95403165034,0.0,9042.95403165034
121,2006-08-14,24.53,23.698000000000015,0.0,9042.95403165034,0.0,9042.95403165034
122,2006-08-15,24.62,23.72866666666668,0.0,9042.95403165034,0.0,9042.95403165034
123,2006-08-16,24.7,23.773666666666678,0.0,9042.95403165034,0.0,9042.95403165034
124,2006-08-17,24.7,23.814333333333348,0.0,9042.95403165034,0.0,9042.95403165034
125,2006-08-18,25.79,23.897333333333346,-1.0,9042.95403165034,0.0,9042.95403165034
126,2006-08-21,26.12,23.98466666666668,-1.0,9042.95403165034,0.0,9042.95403165034
127,2006-08-22,25.62,24.06866666666668,-1.0,9042.95403165034,0.0,9042.95403165034
128,2006-08-23,25.67,24.16966666666668,-1.0,9042.95403165034,0.0,9042.95403165034
129,2006-08-24,25.74,24.28566666666668,-1.0,9042.95403165034,0.0,9042.95403165034
130,2006-08-25,25.85,24.404333333333348,-1.0,9042.95403165034,0.0,9042.95403165034
131,2006-08-28,25.95,24.520000000000017,-1.0,9042.95403165034,0.0,9042.95403165034
132,2006-08-29,25.84,24.62333333333335,0.0,9042.95403165034,0.0,9042.95403165034
133,2006-08-30,25.8,24.70333333333335,0.0,9042.95403165034,0.0,9042.95403165034
134,2006-08-31,25.7,24.79833333333335,0.0,9042.95403165034,0.0,9042.95403165034
135,2006-09-01,25.84,24.86400000000002,0.0,9042.95403165034,0.0,9042.95403165034
136,2006-09-05,25.61,24.917666666666683,0.0,9042.95403165034,0.0,9042.95403165034
137,2006-09-06,25.61,24.964000000000016,0.0,9042.95403165034,0.0,9042.95403165034
138,2006-09-07,25.43,24.99933333333335,0.0,9042.95403165034,0.0,9042.95403165034
139,2006-09-08,25.6,25.057000000000016,0.0,9042.95403165034,0.0,9042.95403165034
140,2006-09-11,25.91,25.11233333333335,0.0,9042.95403165034,0.0,9042.95403165034
141,2006-09-12,25.93,25.17466666666668,0.0,9042.95403165034,0.0,9042.95403165034
142,2006-09-13,25.98,25.241000000000017,0.0,9042.95403165034,0.0,9042.95403165034
143,2006-09-14,26.33,25.308666666666685,0.0,9042.95403165034,0.0,9042.95403165034
144,2006-09-15,26.85,25.396666666666686,-1.0,9042.95403165034,0.0,9042.95403165034
145,2006-09-18,26.79,25.480000000000018,-1.0,9042.95403165034,0.0,9042.95403165034
146,2006-09-19,26.86,25.56800000000002,-1.0,9042.95403165034,0.0,9042.95403165034
147,2006-09-20,27.18,25.66266666666668,-1.0,9042.95403165034,0.0,9042.95403165034
148,2006-09-21,26.9,25.744666666666678,0.0,9042.95403165034,0.0,9042.95403165034
149,2006-09-22,26.66,25.81800000000001,0.0,9042.95403165034,0.0,9042.95403165034
150,2006-09-25,26.95,25.90200000000001,0.0,9042.95403165034,0.0,9042.95403165034
151,2006-09-26,27.2,25.991000000000017,0.0,9042.95403165034,0.0,9042.95403165034
152,2006-09-27,27.44,26.08500000000002,-1.0,9042.95403165034,0.0,9042.95403165034
153,2006-09-28,27.4,26.175000000000015,0.0,9042.95403165034,0.0,9042.95403165034
154,2006-09-29,27.35,26.263333333333346,0.0,9042.95403165034,0.0,9042.95403165034
155,2006-10-02,27.36,26.315666666666683,0.0,9042.95403165034,0.0,9042.95403165034
156,2006-10-03,27.37,26.35733333333335,0.0,9042.95403165034,0.0,9042.95403165034
157,2006-10-04,27.94,26.434666666666683,-1.0,9042.95403165034,0.0,9042.95403165034
158,2006-10-05,27.92,26.509666666666686,-1.0,9042.95403165034,0.0,9042.95403165034
159,2006-10-06,27.87,26.580666666666684,0.0,9042.95403165034,0.0,9042.95403165034
160,2006-10-09,27.72,26.64300000000002,0.0,9042.95403165034,0.0,9042.95403165034
161,2006-10-10,27.69,26.70100000000002,0.0,9042.95403165034,0.0,9042.95403165034
162,2006-10-11,27.54,26.757666666666683,0.0,9042.95403165034,0.0,9042.95403165034
163,2006-10-12,28.22,26.838333333333352,-1.0,9042.95403165034,0.0,9042.95403165034
164,2006-10-13,28.37,26.92733333333335,-1.0,9042.95403165034,0.0,9042.95403165034
165,2006-10-16,28.45,27.01433333333335,-1.0,9042.95403165034,0.0,9042.95403165034
166,2006-10-17,28.44,27.108666666666686,0.0,9042.95403165034,0.0,9042.95403165034
167,2006-10-18,28.52,27.205666666666684,0.0,9042.95403165034,0.0,9042.95403165034
168,2006-10-19,28.29,27.30100000000002,0.0,9042.95403165034,0.0,9042.95403165034
169,2006-10-20,28.43,27.395333333333348,0.0,9042.95403165034,0.0,9042.95403165034
170,2006-10-23,28.45,27.480000000000018,0.0,9042.95403165034,0.0,9042.95403165034
171,2006-10-24,28.28,27.55833333333335,0.0,9042.95403165034,0.0,9042.95403165034
172,2006-10-25,28.31,27.636000000000017,0.0,9042.95403165034,0.0,9042.95403165034
173,2006-10-26,28.35,27.70333333333335,0.0,9042.95403165034,0.0,9042.95403165034
174,2006-10-27,28.34,27.753000000000018,0.0,9042.95403165034,0.0,9042.95403165034
175,2006-10-30,28.53,27.811000000000018,0.0,9042.95403165034,0.0,9042.95403165034
176,2006-10-31,28.71,27.872666666666685,0.0,9042.95403165034,0.0,9042.95403165034
177,2006-11-01,28.81,27.927000000000017,0.0,9042.95403165034,0.0,9042.95403165034
178,2006-11-02,28.77,27.989333333333352,0.0,9042.95403165034,0.0,9042.95403165034
179,2006-11-03,28.73,28.05833333333335,0.0,9042.95403165034,0.0,9042.95403165034
180,2006-11-06,28.84,28.12133333333335,0.0,9042.95403165034,0.0,9042.95403165034
181,2006-11-07,28.95,28.179666666666684,0.0,9042.95403165034,0.0,9042.95403165034
182,2006-11-08,28.98,28.231000000000016,0.0,9042.95403165034,0.0,9042.95403165034
183,2006-11-09,29.26,28.293000000000017,0.0,9042.95403165034,0.0,9042.95403165034
184,2006-11-10,29.24,28.356000000000016,0.0,9042.95403165034,0.0,9042.95403165034
185,2006-11-13,29.35,28.422333333333352,0.0,9042.95403165034,0.0,9042.95403165034
186,2006-11-14,29.2285,28.48428333333335,0.0,9042.95403165034,0.0,9042.95403165034
187,2006-11-15,29.12,28.523616666666683,0.0,9042.95403165034,0.0,9042.95403165034
188,2006-11-16,29.47,28.575283333333353,0.0,9042.95403165034,0.0,9042.95403165034
189,2006-11-17,29.4,28.62628333333335,0.0,9042.95403165034,0.0,9042.95403165034
190,2006-11-20,29.89,28.698616666666684,0.0,9042.95403165034,0.0,9042.95403165034
191,2006-11-21,29.92,28.772950000000016,0.0,9042.95403165034,0.0,9042.95403165034
192,2006-11-22,29.92,28.852283333333347,0.0,9042.95403165034,0.0,9042.95403165034
193,2006-11-24,29.76,28.90361666666668,0.0,9042.95403165034,0.0,9042.95403165034
194,2006-11-27,29.48,28.94061666666668,0.0,9042.95403165034,0.0,9042.95403165034
195,2006-11-28,29.39,28.97195000000001,0.0,9042.95403165034,0.0,9042.95403165034
196,2006-11-29,29.57,29.009616666666677,0.0,9042.95403165034,0.0,9042.95403165034
197,2006-11-30,29.36,29.03761666666668,0.0,9042.95403165034,0.0,9042.95403165034
198,2006-12-01,29.12,29.065283333333348,0.0,9042.95403165034,0.0,9042.95403165034
199,2006-12-04,29.33,29.09528333333335,0.0,9042.95403165034,0.0,9042.95403165034
200,2006-12-05,29.13,29.117950000000015,0.0,9042.95403165034,0.0,9042.95403165034
201,2006-12-06,28.99,29.141616666666682,0.0,9042.95403165034,0.0,9042.95403165034
202,2006-12-07,28.85,29.159616666666686,0.0,9042.95403165034,0.0,9042.95403165034
203,2006-12-08,29.4,29.194616666666683,0.0,9042.95403165034,0.0,9042.95403165034
204,2006-12-11,29.54,29.234616666666682,0.0,9042.95403165034,0.0,9042.95403165034
205,2006-12-12,29.43,29.26461666666668,0.0,9042.95403165034,0.0,9042.95403165034
206,2006-12-13,29.55,29.292616666666678,0.0,9042.95403165034,0.0,9042.95403165034
207,2006-12-14,30.07,29.334616666666683,0.0,9042.95403165034,0.0,9042.95403165034
208,2006-12-15,30.19,29.381950000000018,0.0,9042.95403165034,0.0,9042.95403165034
209,2006-12-18,29.89,29.42061666666668,0.0,9042.95403165034,0.0,9042.95403165034
210,2006-12-19,29.99,29.458950000000016,0.0,9042.95403165034,0.0,9042.95403165034
211,2006-12-20,30.09,29.496950000000016,0.0,9042.95403165034,0.0,9042.95403165034
212,2006-12-21,29.98,29.530283333333347,0.0,9042.95403165034,0.0,9042.95403165034
213,2006-12-22,29.64,29.542950000000015,0.0,9042.95403165034,0.0,9042.95403165034
214,2006-12-26,29.99,29.567950000000014,0.0,9042.95403165034,0.0,9042.95403165034
215,2006-12-27,30.02,29.590283333333346,0.0,9042.95403165034,0.0,9042.95403165034
216,2006-12-28,29.98,29.615333333333346,0.0,9042.95403165034,0.0,9042.95403165034
