,Date,Close,SMA,Decision
0,2018-01-22,177.0,,
1,2018-01-19,178.46,,
2,2018-01-18,179.26,,
3,2018-01-17,179.1,,
4,2018-01-16,176.19,,
5,2018-01-12,177.09,,
6,2018-01-11,175.28,,
7,2018-01-10,174.29,,
8,2018-01-09,174.33,,
9,2018-01-08,174.35,,
10,2018-01-05,175.0,,
11,2018-01-04,173.03,,
12,2018-01-03,172.23,,
13,2018-01-02,172.26,,
14,2017-12-29,169.23,,
15,2017-12-28,171.08,,
16,2017-12-27,170.6,,
17,2017-12-26,170.57,,
18,2017-12-22,175.01,,
19,2017-12-21,175.01,,
20,2017-12-20,174.35,,
21,2017-12-19,174.54,,
22,2017-12-18,176.42,,
23,2017-12-15,173.87,,
24,2017-12-14,172.22,,
25,2017-12-13,172.27,,
26,2017-12-12,171.7,,
27,2017-12-11,172.67,,
28,2017-12-08,169.37,,
29,2017-12-07,169.452,173.87440000000004,0.0
30,2017-12-06,169.01,173.6080666666667,0.0
31,2017-12-05,169.64,173.31406666666672,0.0
32,2017-12-04,169.8,172.99873333333338,0.0
33,2017-12-01,171.05,172.73040000000003,0.0
34,2017-11-30,171.85,172.5857333333334,0.0
35,2017-11-29,169.48,172.33206666666672,0.0
36,2017-11-28,173.07,172.25840000000005,0.0
37,2017-11-27,174.09,172.2517333333334,0.0
38,2017-11-24,174.97,172.27306666666672,0.0
39,2017-11-22,174.96,172.29340000000005,0.0
40,2017-11-21,173.14,172.23140000000006,0.0
41,2017-11-20,169.98,172.12973333333338,0.0
42,2017-11-17,170.15,172.06040000000004,0.0
43,2017-11-16,171.1,172.0217333333334,0.0
44,2017-11-15,169.08,172.0167333333334,0.0
45,2017-11-14,171.34,172.02540000000008,0.0
46,2017-11-13,173.97,172.13773333333341,0.0
47,2017-11-10,174.67,172.2744000000001,0.0
48,2017-11-09,175.88,172.3034000000001,0.0
49,2017-11-07,174.81,172.29673333333344,0.0
50,2017-11-06,174.25,172.29340000000008,0.0
51,2017-11-03,172.5,172.2254000000001,0.0
52,2017-11-02,168.11,171.94840000000008,0.0
53,2017-11-01,166.89,171.71573333333342,0.0
54,2017-10-31,169.04,171.6097333333334,0.0
55,2017-10-30,166.72,171.4247333333334,0.0
56,2017-10-27,163.05,171.13640000000007,0.0
57,2017-10-26,157.41,170.6277333333334,0.0
58,2017-10-25,156.405,170.19556666666674,0.0
59,2017-10-24,157.1,169.7838333333334,0.0
60,2017-10-23,156.17,169.3558333333334,0.0
61,2017-10-20,156.16,168.90650000000005,0.0
62,2017-10-19,155.98,168.44583333333335,0.0
63,2017-10-18,159.76,168.06950000000003,0.0
64,2017-10-17,160.47,167.6901666666667,0.0
65,2017-10-16,159.88,167.3701666666667,0.0
66,2017-10-13,156.99,166.8341666666667,0.0
67,2017-10-12,156.0,166.23116666666672,0.0
68,2017-10-11,156.55,165.61716666666672,0.0
69,2017-10-10,155.9,164.98183333333336,0.0
70,2017-10-09,155.84,164.4051666666667,0.0
71,2017-10-06,155.3,163.91583333333338,0.0
72,2017-10-05,155.39,163.4238333333334,0.0
73,2017-10-04,153.4508,162.8355266666667,0.0
74,2017-10-03,154.48,162.34886000000003,0.0
75,2017-10-02,153.81,161.7645266666667,0.0
76,2017-09-29,154.12,161.10286000000002,0.0
77,2017-09-28,153.28,160.38986000000003,0.0
78,2017-09-27,154.23,159.66819333333333,0.0
79,2017-09-26,153.14,158.94585999999998,0.0
80,2017-09-25,150.55,158.15586,0.0
81,2017-09-22,151.89,157.46886,0.0
82,2017-09-21,153.39,156.97819333333337,0.0
