,Initial Cash Balance,Percent Returns,Prop,Proportion Sell,Proportion Spent,Ticker,Timeperiod,Total Returns,Unique ID
0,10000.0,2.814811588992489,0.25000000000000006,1.0000000000000002,1.0000000000000002,AAPL,6.0,,6_0.25_1.0_1.0
0,10000.0,2.9406336406385796,0.25000000000000006,1.0000000000000002,0.7000000000000001,AAPL,6.0,,6_0.25_1.0_0.7
0,10000.0,3.5554704262724526,0.25000000000000006,1.0000000000000002,0.4,AAPL,6.0,,6_0.25_1.0_0.4
0,10000.0,3.3948494157039395,0.25000000000000006,1.0000000000000002,0.1,AAPL,6.0,,6_0.25_1.0_0.1
0,10000.0,2.914536800944126,0.25000000000000006,0.7000000000000001,1.0000000000000002,AAPL,6.0,,6_0.25_0.7_1.0
0,10000.0,3.0376335211271956,0.25000000000000006,0.7000000000000001,0.7000000000000001,AAPL,6.0,,6_0.25_0.7_0.7
0,10000.0,3.639152815791969,0.25000000000000006,0.7000000000000001,0.4,AAPL,6.0,,6_0.25_0.7_0.4
0,10000.0,3.4820108892790542,0.25000000000000006,0.7000000000000001,0.1,AAPL,6.0,,6_0.25_0.7_0.1
0,10000.0,3.4527756367927855,0.25000000000000006,0.4,1.0000000000000002,AAPL,6.0,,6_0.25_0.4_1.0
0,10000.0,3.549650295375559,0.25000000000000006,0.4,0.7000000000000001,AAPL,6.0,,6_0.25_0.4_0.7
0,10000.0,4.023033958359746,0.25000000000000006,0.4,0.4,AAPL,6.0,,6_0.25_0.4_0.4
0,10000.0,3.8993664028201818,0.25000000000000006,0.4,0.1,AAPL,6.0,,6_0.25_0.4_0.1
0,10000.0,5.065431586710331,0.25000000000000006,0.1,1.0000000000000002,AAPL,6.0,,6_0.25_0.1_1.0
0,10000.0,5.09791380656333,0.25000000000000006,0.1,0.7000000000000001,AAPL,6.0,,6_0.25_0.1_0.7
0,10000.0,5.256641490964473,0.25000000000000006,0.1,0.4,AAPL,6.0,,6_0.25_0.1_0.4
0,10000.0,5.215175263187056,0.25000000000000006,0.1,0.1,AAPL,6.0,,6_0.25_0.1_0.1
0,10000.0,2.814811588992489,0.20000000000000004,1.0000000000000002,1.0000000000000002,AAPL,6.0,,6_0.2_1.0_1.0
0,10000.0,2.8781315475359466,0.20000000000000004,1.0000000000000002,0.7000000000000001,AAPL,6.0,,6_0.2_1.0_0.7
0,10000.0,3.313377087909986,0.20000000000000004,1.0000000000000002,0.4,AAPL,6.0,,6_0.2_1.0_0.4
0,10000.0,3.5632280990963676,0.20000000000000004,1.0000000000000002,0.1,AAPL,6.0,,6_0.2_1.0_0.1
0,10000.0,2.914536800944126,0.20000000000000004,0.7000000000000001,1.0000000000000002,AAPL,6.0,,6_0.2_0.7_1.0
0,10000.0,2.9764852361894185,0.20000000000000004,0.7000000000000001,0.7000000000000001,AAPL,6.0,,6_0.2_0.7_0.7
0,10000.0,3.402303268826919,0.20000000000000004,0.7000000000000001,0.4,AAPL,6.0,,6_0.2_0.7_0.4
0,10000.0,3.646742455830293,0.20000000000000004,0.7000000000000001,0.1,AAPL,6.0,,6_0.2_0.7_0.1
0,10000.0,3.4527756367927855,0.20000000000000004,0.4,1.0000000000000002,AAPL,6.0,,6_0.2_0.4_1.0
0,10000.0,3.5015278172343076,0.20000000000000004,0.4,0.7000000000000001,AAPL,6.0,,6_0.2_0.4_0.7
0,10000.0,3.8366380985545403,0.20000000000000004,0.4,0.4,AAPL,6.0,,6_0.2_0.4_0.4
0,10000.0,4.0290068533839625,0.20000000000000004,0.4,0.1,AAPL,6.0,,6_0.2_0.4_0.1
0,10000.0,5.065431586710331,0.20000000000000004,0.1,1.0000000000000002,AAPL,6.0,,6_0.2_0.1_1.0
0,10000.0,5.081777545310465,0.20000000000000004,0.1,0.7000000000000001,AAPL,6.0,,6_0.2_0.1_0.7
0,10000.0,5.194142210973628,0.20000000000000004,0.1,0.4,AAPL,6.0,,6_0.2_0.1_0.4
0,10000.0,5.258644226641458,0.20000000000000004,0.1,0.1,AAPL,6.0,,6_0.2_0.1_0.1
0,10000.0,3.5739575532246803,0.15000000000000002,1.0000000000000002,1.0000000000000002,AAPL,6.0,,6_0.15_1.0_1.0
0,10000.0,3.2841995390890975,0.15000000000000002,1.0000000000000002,0.7000000000000001,AAPL,6.0,,6_0.15_1.0_0.7
0,10000.0,3.204991092510865,0.15000000000000002,1.0000000000000002,0.4,AAPL,6.0,,6_0.15_1.0_0.4
0,10000.0,2.353800128838075,0.15000000000000002,1.0000000000000002,0.1,AAPL,6.0,,6_0.15_1.0_0.1
0,10000.0,4.630245104397039,0.15000000000000002,0.7000000000000001,1.0000000000000002,AAPL,6.0,,6_0.15_0.7_1.0
0,10000.0,4.103086958047973,0.15000000000000002,0.7000000000000001,0.7000000000000001,AAPL,6.0,,6_0.15_0.7_0.7
0,10000.0,3.820715081160602,0.15000000000000002,0.7000000000000001,0.4,AAPL,6.0,,6_0.15_0.7_0.4
0,10000.0,2.8169541541670218,0.15000000000000002,0.7000000000000001,0.1,AAPL,6.0,,6_0.15_0.7_0.1
0,10000.0,5.171604950418047,0.15000000000000002,0.4,1.0000000000000002,AAPL,6.0,,6_0.15_0.4_1.0
0,10000.0,4.586658075382961,0.15000000000000002,0.4,0.7000000000000001,AAPL,6.0,,6_0.15_0.4_0.7
0,10000.0,4.177191795011821,0.15000000000000002,0.4,0.4,AAPL,6.0,,6_0.15_0.4_0.4
0,10000.0,3.2574131758507257,0.15000000000000002,0.4,0.1,AAPL,6.0,,6_0.15_0.4_0.1
